010001213909052026000010000000000000875140000004193470900.00
110905202600362       NCDXRAJ01   MCFUTCOMMAIZE     200820260000000.00FF00M503600000000000000000000000.000000000000000.000000000000000000000000000000000.000000001100000002219100.000000000000000000000000.000000001100000002219100.00
110905202600362       EC004       MCFUTCOMMAIZE     200520260000000.00FF00M503600000000000000000000000.000000000000000.000000000000000000300000000622500.000000000000000000000000.000000000300000000622500.000000000000000000000000.00
110905202600362       EC022       MCFUTCOMMAIZE     200820260000000.00FF00M503600000000000000000000000.000000000000000.000000000000000000800000001598400.000000000000000000000000.000000000800000001598400.000000000000000000000000.00
110905202601268       KTT3191     MCFUTCOMMAIZE     200520260000000.00FF00M510700000000100000000201900.000000000000000.000000000000000000000000000000000.000000000000000000000000.000000000100000000201900.000000000000000000000000.00
110905202600362       EC003       MCFUTCOMMAIZE     200520260000000.00FF00M503600000000000000000000000.000000000000000.000000000000000000000000000000000.000000000300000000622500.000000000000000000000000.000000000300000000622500.00
110905202601267       209G421     MCFUTCOMMAIZE     200520260000000.00FF00M510850000000000000000000000.000000000201900.000000000100000000000000000000000.000000000000000000000000.000000000000000000000000.000000000100000000201900.00
110905202600362       EC002       MCFUTCOMMAIZE     200820260000000.00FF00M503600000000000000000000000.000000000000000.000000000000000000300000000620700.000000000000000000000000.000000000300000000620700.000000000000000000000000.00
110905202601275       4238        MCFUTCOMCASTOR    190620260000000.00FF00M510720000004500000029574000.000000057176400.000000008700000000000000000000000.000000000000000000000000.000000004500000029574000.000000008700000057176400.00
110905202601275       4238        MCFUTCOMJEERAUNJHA190620260000000.00FF00M510720000001320000026591400.000000002417400.000000000120000000000000000000000.000000000000000000000000.000000001320000026591400.000000000120000002417400.00
110905202601275       4302        MCFUTCOMGUARSEED10190620260000000.00FF00M510720000002700000015457500.000000011163750.000000001950000000000000000000000.000000000000000000000000.000000002700000015457500.000000001950000011163750.00
110905202601275       4302        MCFUTCOMJEERAUNJHA200520260000000.00FF00M510720000000150000002984250.000000002984250.000000000150000000000000000000000.000000000000000000000000.000000000150000002984250.000000000150000002984250.00
110905202601275       4739        MCFUTCOMGUARSEED10200520260000000.00FF00M510720000000100000000559800.000000000559800.000000000100000000000000000000000.000000000000000000000000.000000000100000000559800.000000000100000000559800.00
110905202601276       CA935       MCFUTCOMGUARSEED10200520260000000.00FF00M510730000000050000000279900.000000000279900.000000000050000000000000000000000.000000000000000000000000.000000000050000000279900.000000000050000000279900.00
110905202601276       CK1500      MCFUTCOMTMCFGRNZM 200520260000000.00FF00M510730000000050000000803600.000000000803600.000000000050000000000000000000000.000000000000000000000000.000000000050000000803600.000000000050000000803600.00
110905202601276       JK2629      MCFUTCOMTMCFGRNZM 200520260000000.00FF00M510730000000350000005625200.000000005625200.000000000350000000000000000000000.000000000000000000000000.000000000350000005625200.000000000350000005625200.00
110905202601276       PG10828     MCFUTCOMDHANIYA   200520260000000.00FF00M510730000000200000002469200.000000002469200.000000000200000000000000000000000.000000000000000000000000.000000000200000002469200.000000000200000002469200.00
110905202601276       SH6973      MCFUTCOMCOCUDAKL  200520260000000.00FF00M510730000000100000000341700.000000000341700.000000000100000000000000000000000.000000000000000000000000.000000000100000000341700.000000000100000000341700.00
